,geometry,EV_stations_counts,EV_stations_geomery,population,landuse,nodes,edges,density,parking_count,parking_types,restaurant_count,library_count,university_count,school_count,park_count,townhall_count,Community_centre_count,government_count,civic_count,commercial_count,retail_count,place_of_worship_count
169,"POLYGON ((8.570492061222987 50.09460056451506, 8.570531421114515 50.090196934114644, 8.56355557196533 50.09017092004383, 8.56351557280098 50.09457454640759, 8.570492061222987 50.09460056451506))",0,[],9.014050981911806,Other,5,7,0.35,0,{},0,0,0,0,0,0,0,0,0,0,0,0
170,"POLYGON ((8.570531421114515 50.090196934114644, 8.570570771263503 50.08579330033327, 8.563595561228917 50.085767290298364, 8.56355557196533 50.09017092004383, 8.570531421114515 50.090196934114644))",0,[],9.014050981911808,Other,3,4,0.6666666666666666,0,{},0,0,0,0,0,0,0,0,0,0,0,0
171,"POLYGON ((8.570570771263503 50.08579330033327, 8.57061011167309 50.081389663170825, 8.563635540594932 50.081363657171096, 8.563595561228917 50.085767290298364, 8.570570771263503 50.08579330033327))",0,[],9.014050981911812,Other,1,2,0.0,1,{'surface': 1},0,0,0,0,0,0,0,0,0,0,0,0
172,"POLYGON ((8.57061011167309 50.081389663170825, 8.570649442346415 50.07698602262722, 8.563675510066565 50.07696002066192, 8.563635540594932 50.081363657171096, 8.57061011167309 50.081389663170825))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
173,"POLYGON ((8.570649442346415 50.07698602262722, 8.570688763286615 50.072582378702386, 8.563715469647002 50.072556380770806, 8.563675510066565 50.07696002066192, 8.570649442346415 50.07698602262722))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
174,"POLYGON ((8.570688763286615 50.072582378702386, 8.57072807449682 50.06817873139621, 8.563755419339428 50.068152737497606, 8.563715469647002 50.072556380770806, 8.570688763286615 50.072582378702386))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
175,"POLYGON ((8.57072807449682 50.06817873139621, 8.570767375980168 50.063775080708616, 8.563795359147026 50.063749090842265, 8.563755419339428 50.068152737497606, 8.57072807449682 50.06817873139621))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
176,"POLYGON ((8.570767375980168 50.063775080708616, 8.570806667739786 50.05937142663952, 8.56383528907298 50.05934544080466, 8.563795359147026 50.063749090842265, 8.570767375980168 50.063775080708616))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
177,"POLYGON ((8.570806667739786 50.05937142663952, 8.570845949778807 50.05496776918884, 8.563875209120472 50.05494178738475, 8.56383528907298 50.05934544080466, 8.570806667739786 50.05937142663952))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
178,"POLYGON ((8.570845949778807 50.05496776918884, 8.570885222100358 50.05056410835649, 8.563915119292677 50.050538130582424, 8.563875209120472 50.05494178738475, 8.570845949778807 50.05496776918884))",0,[],9.014050981911812,Other,3,2,0.3333333333333333,3,"{'multi-storey': 1, 'street_side': 1, 'surface': 1}",5,0,0,0,0,0,0,0,0,0,0,0
179,"POLYGON ((8.570885222100358 50.05056410835649, 8.57092448470757 50.046160444142366, 8.563955019592777 50.046134470397604, 8.563915119292677 50.050538130582424, 8.570885222100358 50.05056410835649))",0,[],9.01405098191181,Other,0,0,0.0,7,"{'multi-storey': 3, 'surface': 2, 'street_side': 1}",4,0,0,0,0,0,0,0,0,0,0,0
