,geometry,EV_stations_counts,EV_stations_aperage,EV_stations_voltage,EV_stations_capacity,EV_stations_geomery,population,landuse,nodes,edges,density,parking_count,parking_types,restaurant_count,library_count,Community_centre_count,school_count,university_count,park_count,townhall_count,government_count,civic_count,commercial_count,retail_count,place_of_worship_count
2140,"POLYGON ((13.44599345615337 52.447380686526394, 13.446150519761144 52.44291808969476, 13.438831369870782 52.442821683053005, 13.438673567171858 52.44728426444154, 13.44599345615337 52.447380686526394))",0,[],[],[],[],10.022101410748055,Other,11,20,0.18181818181818182,9,"{'street_side': 6, 'surface': 3}",0,0,0,2,0,1,0,0,0,0,1,0
2141,"POLYGON ((13.446150519761144 52.44291808969476, 13.446307542227933 52.438455489144275, 13.438989131235346 52.43835909794251, 13.438831369870782 52.442821683053005, 13.446150519761144 52.44291808969476))",0,[],[],[],[],10.022101410748055,Other,0,0,0.0,2,{'street_side': 2},0,0,0,0,0,0,0,0,0,0,0,0
2142,"POLYGON ((13.446307542227933 52.438455489144275, 13.446464523568094 52.433992884874925, 13.439146851279974 52.43389650911006, 13.438989131235346 52.43835909794251, 13.446307542227933 52.438455489144275))",0,[],[],[],[],10.022101410748053,Other,3,4,0.6666666666666666,8,{'surface': 8},2,1,1,0,0,0,0,0,0,0,1,0
2143,"POLYGON ((13.446464523568094 52.433992884874925, 13.446621463795973 52.42953027688668, 13.439304530019081 52.4294339165556, 13.439146851279974 52.43389650911006, 13.446464523568094 52.433992884874925))",0,[],[],[],[],10.022101410748053,Other,2,2,1.0,1,{'surface': 1},0,0,0,3,0,0,0,0,0,0,0,0
2144,"POLYGON ((13.446621463795973 52.42953027688668, 13.446778362925915 52.42506766517954, 13.439462167467074 52.42497132027915, 13.439304530019081 52.4294339165556, 13.446621463795973 52.42953027688668))",0,[],[],[],[],10.022101410748053,residential,12,24,0.18181818181818182,4,"{'street_side': 2, 'surface': 1}",2,0,0,0,0,0,0,0,0,0,0,0
2145,"POLYGON ((13.446778362925915 52.42506766517954, 13.446935220972252 52.42060504975345, 13.43961976363836 52.42050872028064, 13.439462167467074 52.42497132027915, 13.446778362925915 52.42506766517954))",0,[],[],[],[],10.022101410748055,residential,16,31,0.12916666666666668,0,{},0,0,0,2,0,0,0,0,0,0,1,0
2146,"POLYGON ((13.446935220972252 52.42060504975345, 13.447072666473805 52.41669375783801, 13.4470588 52.416686, 13.4465709 52.4165452, 13.4457719 52.416317499999984, 13.4455511 52.41625169999999, 13.445073282628158 52.416115894593226, 13.439777318547332 52.416046116560054, 13.43961976363836 52.42050872028064, 13.446935220972252 52.42060504975345))",0,[],[],[],[],10.022101410748053,Other,12,24,0.18181818181818182,4,"{'multi-storey': 3, 'surface': 1}",0,0,0,0,0,0,0,0,0,0,0,0
2147,"POLYGON ((13.445073282628158 52.416115894593226, 13.4438792 52.41577649999999, 13.443242 52.4155947, 13.4430837 52.4155375, 13.4425433 52.41537089999999, 13.4416256 52.41509, 13.4408949 52.41489459999999, 13.4406904 52.4148405, 13.4404746 52.414790499999995, 13.4400459 52.4146965, 13.439826639950056 52.41464889041891, 13.439777318547332 52.416046116560054, 13.445073282628158 52.416115894593226))",0,[],[],[],[],10.022101410748055,Other,3,4,0.6666666666666666,0,{},0,0,0,0,0,0,0,0,0,0,0,0
2148,"POLYGON ((13.438989589749395 52.645194789639866, 13.439078900000002 52.6452169, 13.4394129 52.64525709999999, 13.4397877 52.64526810000001, 13.4402051 52.646879199999994, 13.4404266 52.6477426, 13.440548598761566 52.64821563341273, 13.446236170089868 52.648290359444104, 13.446394352133769 52.643827914424136, 13.439041708690986 52.643731265833075, 13.438989589749395 52.645194789639866))",0,[],[],[],[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
2149,"POLYGON ((13.440548598761566 52.64821563341273, 13.440619000000002 52.648488599999986, 13.4407197 52.6488828, 13.4408204 52.64926539999999, 13.4412714 52.64933980000001, 13.4415437 52.64938659999999, 13.4416517 52.6493288, 13.441610800000001 52.649024799999985, 13.442121800000002 52.649070499999986, 13.4427715 52.64912669999999, 13.442892200000001 52.6493623, 13.4431981 52.64935079999999, 13.443306 52.6495385, 13.4439903 52.649524799999995, 13.444909600000003 52.64950329999999, 13.4451673 52.6495303, 13.4453896 52.64956389999999, 13.445918700000002 52.64967399999999, 13.4461537 52.649728999999994, 13.446184945396348 52.64973519765269, 13.446236170089868 52.648290359444104, 13.440548598761566 52.64821563341273))",0,[],[],[],[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
